cond.s.m01,echo.1.301,cond.p.m01,echo.p.301,cond.s.m1,echo.s.m1,cond.p.m1,echo.p.m1,cond.s.m2,echo.s.m2,cond.p.m2,echo.p.m2
s,0.00023588,p,0.000707639,1,0.000115755,p,0.000347264,s,4.74E-05,p,0.000142142
s,0.000246104,p,0.000738313,1,0.000130364,p,0.000391091,s,5.59E-05,p,0.000167749
s,0.000205684,p,0.000617053,1,8.80E-05,p,0.000264131,s,4.76E-05,p,0.000142902
s,0.000213177,p,0.00063953,1,0.000123658,p,0.000370973,s,4.31E-05,p,0.000129317
s,0.000229178,p,0.000687534,1,0.000111692,p,0.000335075,s,2.85E-05,p,8.55E-05
s,0.000211595,p,0.000634784,1,0.000167056,p,0.000501167,s,5.21E-05,p,0.000156309
s,0.000237675,p,0.000713025,1,8.96E-05,p,0.000268761,s,5.20E-05,p,0.000155852
s,0.000241154,p,0.000723461,1,9.40E-05,p,0.000281996,s,5.33E-05,p,0.000159834
s,0.00020394,p,0.000611819,1,9.50E-05,p,0.000284937,s,3.87E-05,p,0.000116171
s,0.000191495,p,0.000574484,1,0.000140608,p,0.000421824,s,4.15E-05,p,0.000124461
s,0.000227617,p,0.000682852,1,0.00011829,p,0.00035487,s,4.46E-05,p,0.00013371
s,0.0001875,p,0.000562499,1,0.000101895,p,0.000305684,s,4.64E-05,p,0.000139146
s,0.000232076,p,0.000696228,1,0.000120206,p,0.000360619,s,3.99E-05,p,0.000119788
s,0.000224717,p,0.00067415,1,0.000111799,p,0.000335396,s,4.80E-05,p,0.000144075
s,0.000248056,p,0.000744169,1,0.000132066,p,0.000396198,s,6.53E-05,p,0.00019602
s,0.000165792,p,0.000497376,1,0.00012133,p,0.000363991,s,6.55E-05,p,0.000196428
s,0.000235547,p,0.000706642,1,0.000142405,p,0.000427215,s,4.62E-05,p,0.000138514
s,0.000235995,p,0.000707984,1,0.00011005,p,0.000330151,s,2.37E-05,p,7.12E-05
s,0.000196135,p,0.000588405,1,0.00010782,p,0.00032346,s,5.26E-05,p,0.000157846
s,0.000218907,p,0.00065672,1,0.000112376,p,0.000337129,s,5.80E-05,p,0.000174145
s,0.00019522,p,0.000585661,1,9.84E-05,p,0.000295103,s,8.83E-05,p,0.000264899
s,0.000207952,p,0.000623856,1,0.000141942,p,0.000425827,s,5.88E-05,p,0.000176326
s,0.000203188,p,0.000609564,1,0.000105553,p,0.00031666,s,3.37E-05,p,0.000101204
s,0.000189099,p,0.000567298,1,0.000137569,p,0.000412707,s,6.23E-05,p,0.000186991
s,0.000201949,p,0.000605848,1,0.000104715,p,0.000314145,s,6.45E-05,p,0.000193586
s,0.000197738,p,0.000593214,1,0.000150262,p,0.000450786,s,4.22E-05,p,0.000126589
s,0.000231768,p,0.000695305,1,0.000109821,p,0.000329462,s,4.40E-05,p,0.000131894
s,0.000177689,p,0.000533068,1,0.000128311,p,0.000384932,s,3.98E-05,p,0.000119547
s,0.000223189,p,0.000669568,1,0.00012178,p,0.000365341,s,4.05E-05,p,0.000121423
s,0.000246642,p,0.000739925,1,0.000101453,p,0.000304359,s,4.04E-05,p,0.000121151
s,0.000199505,p,0.000598515,1,0.0001061,p,0.000318301,s,6.52E-05,p,0.000195647
s,0.000217038,p,0.000651113,1,0.000104978,p,0.000314934,s,4.25E-05,p,0.000127501
s,0.000219008,p,0.000657025,1,0.000148336,p,0.000445008,s,3.44E-05,p,0.000103249
s,0.000220445,p,0.000661336,1,0.000122193,p,0.000366579,s,6.95E-05,p,0.000208505
s,0.000232948,p,0.000698843,1,0.000127147,p,0.00038144,s,3.64E-05,p,0.000109289
s,0.000262837,p,0.00078851,1,0.000143573,p,0.000430718,s,5.75E-05,p,0.000172536
s,0.000246021,p,0.000738064,1,9.76E-05,p,0.000292678,s,2.53E-05,p,7.58E-05
s,0.000240434,p,0.000721301,1,0.000114853,p,0.000344558,s,4.42E-05,p,0.000132649
s,0.000187515,p,0.000562546,1,0.00010529,p,0.00031587,s,4.17E-05,p,0.000125036
s,0.00022295,p,0.000668851,1,0.000102806,p,0.000308419,s,3.88E-05,p,0.000116438
s,0.000193046,p,0.000579138,1,9.68E-05,p,0.000290411,s,4.24E-05,p,0.000127238
s,0.000221077,p,0.00066323,1,0.000118289,p,0.000354867,s,5.04E-05,p,0.000151078
s,0.000237204,p,0.000711612,1,0.000141433,p,0.0004243,s,2.32E-05,p,6.95E-05
s,0.000230806,p,0.000692417,1,0.000115139,p,0.000345416,s,5.07E-05,p,0.000152241
s,0.000238123,p,0.00071437,1,0.000105726,p,0.000317177,s,6.04E-05,p,0.000181219
s,0.000206937,p,0.00062081,1,0.000130003,p,0.00039001,s,5.68E-05,p,0.000170514
s,0.000214585,p,0.000643756,1,0.000116578,p,0.000349733,s,6.35E-05,p,0.000190505
s,0.000233207,p,0.00069962,1,0.000126273,p,0.000378819,s,2.78E-05,p,8.34E-05
s,0.000212052,p,0.000636156,1,0.000121569,p,0.000364708,s,3.63E-05,p,0.000108912
s,0.000174135,p,0.000522405,1,0.000119146,p,0.000357438,s,4.52E-05,p,0.000135725
s,0.000174691,p,0.000524073,1,0.000112447,p,0.000337341,s,3.30E-05,p,9.90E-05
s,0.000206179,p,0.000618536,1,0.000107364,p,0.000322092,s,6.59E-05,p,0.000197827
s,0.000226674,p,0.000680021,1,0.000122935,p,0.000368804,s,4.94E-05,p,0.000148092
s,0.000252338,p,0.000757013,1,0.000107335,p,0.000322005,s,5.40E-05,p,0.000161978
s,0.000219017,p,0.00065705,1,0.000113797,p,0.00034139,s,3.57E-05,p,0.000107071
s,0.0002273,p,0.000681901,1,0.000147255,p,0.000441766,s,7.30E-05,p,0.000218913
s,0.000245611,p,0.000736833,1,0.000143384,p,0.000430153,s,5.29E-05,p,0.000158687
s,0.000202302,p,0.000606906,1,0.000145378,p,0.000436133,s,5.54E-05,p,0.000166274
s,0.000206109,p,0.000618327,1,0.000145217,p,0.00043565,s,7.51E-05,p,0.0002254
s,0.00023168,p,0.00069504,1,0.000129685,p,0.000389055,s,5.45E-05,p,0.000163422
s,0.00030114,p,0.000903421,1,0.000116584,p,0.000349752,s,5.71E-05,p,0.000171192
s,0.000206843,p,0.000620528,1,0.000120655,p,0.000361966,s,6.01E-05,p,0.000180242
s,0.000224808,p,0.000674425,1,9.88E-05,p,0.000296378,s,5.33E-05,p,0.000160026
s,0.000263774,p,0.000791322,1,0.000121648,p,0.000364944,s,5.03E-05,p,0.000150971
s,0.000230437,p,0.000691311,1,0.000110246,p,0.000330738,s,3.81E-05,p,0.000114181
s,0.000207147,p,0.00062144,1,0.000163694,p,0.000491083,s,3.47E-05,p,0.000104238
s,0.000213512,p,0.000640536,1,0.000121778,p,0.000365334,s,5.61E-05,p,0.000168368
s,0.000212837,p,0.000638512,1,0.000169033,p,0.0005071,s,4.38E-05,p,0.000131342
s,0.000209334,p,0.000628001,1,0.000161378,p,0.000484135,s,5.40E-05,p,0.000162114
s,0.000202923,p,0.000608768,1,0.000106375,p,0.000319124,s,4.16E-05,p,0.000124765
s,0.000233328,p,0.000699983,1,9.95E-05,p,0.000298608,s,3.35E-05,p,0.000100483
s,0.000240776,p,0.000722327,1,0.000133442,p,0.000400327,s,7.21E-05,p,0.000216348
s,0.000223213,p,0.000669638,1,8.94E-05,p,0.000268057,s,5.36E-05,p,0.000160878
s,0.000158468,p,0.000475405,1,8.38E-05,p,0.000251443,s,4.66E-05,p,0.000139911
s,0.000197535,p,0.000592606,1,0.000115049,p,0.000345148,s,4.36E-05,p,0.000130717
s,0.000214296,p,0.000642888,1,0.000132428,p,0.000397284,s,5.87E-05,p,0.000176139
s,0.000206518,p,0.000619555,1,0.000150328,p,0.000450985,s,5.73E-05,p,0.000172028
s,0.000202643,p,0.00060793,1,0.000119212,p,0.000357636,s,6.08E-05,p,0.000182457
s,0.000179338,p,0.000538015,1,0.000130981,p,0.000392942,s,4.99E-05,p,0.000149616
s,0.000219322,p,0.000657967,1,9.75E-05,p,0.000292517,s,6.28E-05,p,0.00018851
s,0.00020457,p,0.000613711,1,0.00011746,p,0.000352379,s,5.16E-05,p,0.000154818
s,0.000227237,p,0.000681711,1,0.000133708,p,0.000401125,s,3.99E-05,p,0.000119571
s,0.00018988,p,0.000569641,1,0.000112336,p,0.000337009,s,4.54E-05,p,0.000136236
s,0.000181279,p,0.000543837,1,0.00010072,p,0.00030216,s,3.57E-05,p,0.000107071
s,0.000204858,p,0.000614574,1,0.000116429,p,0.000349286,s,4.16E-05,p,0.000124875
s,0.000214102,p,0.000642305,1,0.000124742,p,0.000374226,s,3.91E-05,p,0.000117345
s,0.000233943,p,0.000701829,1,0.000108575,p,0.000325725,s,5.88E-05,p,0.000176275
s,0.000205042,p,0.000615126,1,9.69E-05,p,0.000290601,s,5.72E-05,p,0.000171618
s,0.000254759,p,0.000764276,1,8.55E-05,p,0.000256361,s,4.90E-05,p,0.000147098
s,0.000195307,p,0.00058592,1,0.000132064,p,0.000396191,s,4.34E-05,p,0.000130194
s,0.000216078,p,0.000648233,1,0.000121009,p,0.000363028,s,5.94E-05,p,0.000178323
s,0.000258703,p,0.000776109,1,0.000149101,p,0.000447303,s,4.46E-05,p,0.000133932
s,0.000224841,p,0.000674523,1,0.000103693,p,0.00031108,s,6.28E-05,p,0.000188365
s,0.000210219,p,0.000630658,1,0.000115786,p,0.000347358,s,5.38E-05,p,0.000161328
s,0.000230425,p,0.000691276,1,0.000112838,p,0.000338513,s,5.61E-05,p,0.000168229
s,0.000213498,p,0.000640493,1,0.000141608,p,0.000424825,s,3.43E-05,p,0.000102984
s,0.000204673,p,0.000614018,1,0.00017993,p,0.000539789,s,4.86E-05,p,0.000145822
s,0.000218847,p,0.000656542,1,0.00014023,p,0.00042069,s,4.12E-05,p,0.000123589
s,0.000239794,p,0.000719382,1,0.000139768,p,0.000419304,s,5.72E-05,p,0.00017152
s,0.00021108,p,0.000633241,1,9.19E-05,p,0.000275678,s,3.12E-05,p,9.37E-05
s,0.000251236,p,0.000753708,1,0.000101434,p,0.000304302,s,4.00E-05,p,0.000119926
s,0.000222762,p,0.000668286,1,0.000126283,p,0.00037885,s,5.69E-05,p,0.000170763
s,0.00024666,p,0.00073998,1,0.000137672,p,0.000413016,s,3.72E-05,p,0.000111484
s,0.000238182,p,0.000714545,1,0.000119959,p,0.000359876,s,5.88E-05,p,0.000176334
s,0.000238983,p,0.000716948,1,0.000101421,p,0.000304263,s,4.95E-05,p,0.000148517
s,0.000230494,p,0.000691483,1,0.000134817,p,0.000404452,s,4.35E-05,p,0.000130541
s,0.000205881,p,0.000617644,1,8.66E-05,p,0.000259881,s,3.90E-05,p,0.000117003
s,0.000224931,p,0.000674794,1,0.000133194,p,0.000399581,s,5.18E-05,p,0.000155369
s,0.000207471,p,0.000622413,1,0.000105665,p,0.000316996,s,3.62E-05,p,0.000108576
s,0.000174186,p,0.000522558,1,0.00011663,p,0.000349889,s,4.26E-05,p,0.000127879
s,0.000231999,p,0.000695996,1,0.000111849,p,0.000335548,s,6.68E-05,p,0.000200298
s,0.000192009,p,0.000576026,1,0.000138921,p,0.000416764,s,5.26E-05,p,0.00015768
s,0.000228006,p,0.000684017,1,0.000132583,p,0.000397749,s,3.87E-05,p,0.000116175
s,0.000269235,p,0.000807706,1,0.00012429,p,0.00037287,s,4.24E-05,p,0.000127088
s,0.000193532,p,0.000580597,1,0.000119428,p,0.000358285,s,5.10E-05,p,0.00015293
s,0.000190412,p,0.000571237,1,0.000111137,p,0.000333412,s,5.78E-05,p,0.000173286
s,0.000224749,p,0.000674246,1,0.000127685,p,0.000383056,s,4.38E-05,p,0.000131549
s,0.00025958,p,0.000778741,1,0.000135458,p,0.000406373,s,6.08E-05,p,0.000182285
s,0.000186907,p,0.000560722,1,0.00016056,p,0.000481679,s,6.27E-05,p,0.000188118
s,0.000229301,p,0.000687902,1,0.000116367,p,0.0003491,s,3.91E-05,p,0.000117363
s,0.000232352,p,0.000697056,1,0.000134262,p,0.000402787,s,7.48E-05,p,0.000224472
s,0.000208706,p,0.000626118,1,0.000114389,p,0.000343167,s,5.01E-05,p,0.000150283
s,0.000258886,p,0.000776659,1,0.000105046,p,0.000315138,s,4.13E-05,p,0.000123959
s,0.00022942,p,0.000688259,1,0.000106477,p,0.000319431,s,6.38E-05,p,0.000191415
s,0.000203631,p,0.000610893,1,9.30E-05,p,0.000279083,s,4.22E-05,p,0.000126472
s,0.000193818,p,0.000581455,1,0.000109242,p,0.000327725,s,7.18E-05,p,0.000215432
s,0.000208825,p,0.000626475,1,0.00012008,p,0.000360239,s,7.04E-05,p,0.000211281
s,0.000218522,p,0.000655567,1,0.000128529,p,0.000385587,s,4.37E-05,p,0.000131212
s,0.000243199,p,0.000729596,1,0.000152304,p,0.000456911,s,5.91E-05,p,0.000177207
s,0.000234223,p,0.000702668,1,0.000107905,p,0.000323714,s,5.00E-05,p,0.000150051
s,0.000213315,p,0.000639944,1,0.000124959,p,0.000374877,s,4.55E-05,p,0.000136426
s,0.000235747,p,0.000707242,1,0.000103722,p,0.000311165,s,6.05E-05,p,0.00018137
s,0.000259528,p,0.000778584,1,0.00016209,p,0.000486271,s,5.13E-05,p,0.00015393
s,0.000208907,p,0.000626722,1,0.000106011,p,0.000318032,s,4.89E-05,p,0.000146593
s,0.000206807,p,0.000620421,1,9.15E-05,p,0.000274573,s,4.59E-05,p,0.000137697
s,0.000213138,p,0.000639415,1,0.00012692,p,0.00038076,s,4.72E-05,p,0.000141552
s,0.000251835,p,0.000755506,1,0.000113366,p,0.000340099,s,4.69E-05,p,0.000140567
s,0.000222525,p,0.000667574,1,0.000138824,p,0.000416473,s,4.61E-05,p,0.000138198
s,0.000233582,p,0.000700746,1,0.000102948,p,0.000308844,s,5.40E-05,p,0.000161946
s,0.000249617,p,0.00074885,1,0.000117864,p,0.000353592,s,7.19E-05,p,0.000215595
s,0.000195892,p,0.000587677,1,0.000135174,p,0.000405523,s,4.59E-05,p,0.000137577
s,0.000199823,p,0.000599469,1,0.000151337,p,0.000454011,s,6.25E-05,p,0.000187528
s,0.000191059,p,0.000573178,1,9.72E-05,p,0.000291453,s,4.14E-05,p,0.000124214
s,0.000192799,p,0.000578396,1,0.000129174,p,0.000387523,s,6.95E-05,p,0.000208478
s,0.000203311,p,0.000609934,1,0.000141302,p,0.000423905,s,5.04E-05,p,0.000151082
s,0.000244776,p,0.000734327,1,0.000137018,p,0.000411053,s,3.48E-05,p,0.000104311
s,0.000200607,p,0.00060182,1,0.000101216,p,0.000303647,s,3.08E-05,p,9.24E-05
s,0.000234842,p,0.000704525,1,0.00011897,p,0.000356909,s,6.81E-05,p,0.00020432
s,0.000245598,p,0.000736793,1,0.000133823,p,0.000401469,s,6.88E-05,p,0.000206259
s,0.0002154,p,0.000646201,1,0.000102763,p,0.000308289,s,4.96E-05,p,0.000148793
s,0.000212528,p,0.000637583,1,0.000104221,p,0.000312664,s,5.78E-05,p,0.000173424
s,0.00019081,p,0.000572431,1,0.000114357,p,0.000343072,s,3.67E-05,p,0.000110078
s,0.000252562,p,0.000757687,1,0.000141391,p,0.000424174,s,4.59E-05,p,0.000137771
s,0.000223487,p,0.00067046,1,0.0001139,p,0.000341699,s,5.95E-05,p,0.0001784
s,0.000206793,p,0.000620378,1,0.000127226,p,0.000381677,s,6.13E-05,p,0.000183932
s,0.000224198,p,0.000672595,1,0.000107747,p,0.000323242,s,4.65E-05,p,0.000139404
