cond.s.m,echo.1.3,cond.p.m,echo.p.3,cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,0.000114496,p,0.000343487,s,5.47339E-05,p,0.000164202
s,0.000120982,p,0.000362945,s,4.49633E-05,p,0.00013489
s,0.000125226,p,0.000375677,s,5.8187E-05,p,0.000174561
s,0.000137424,p,0.000412273,s,4.49602E-05,p,0.000134881
s,0.000101601,p,0.000304802,s,4.48776E-05,p,0.000134633
s,0.000111437,p,0.000334312,s,4.63642E-05,p,0.000139092
s,0.000133307,p,0.00039992,s,3.05115E-05,p,9.15346E-05
s,9.71952E-05,p,0.000291586,s,4.36725E-05,p,0.000131017
s,9.90068E-05,p,0.00029702,s,5.07727E-05,p,0.000152318
s,0.000116914,p,0.000350742,s,3.88715E-05,p,0.000116614
s,0.000116331,p,0.000348992,s,4.23661E-05,p,0.000127098
s,9.17797E-05,p,0.000275339,s,4.50583E-05,p,0.000135175
s,0.000122931,p,0.000368792,s,5.29996E-05,p,0.000158999
s,0.000116488,p,0.000349464,s,3.10432E-05,p,9.31297E-05
s,0.000130766,p,0.000392298,s,5.61698E-05,p,0.00016851
s,9.10198E-05,p,0.000273059,s,4.49054E-05,p,0.000134716
s,0.00010954,p,0.000328621,s,5.67121E-05,p,0.000170136
s,0.000111947,p,0.00033584,s,5.28057E-05,p,0.000158417
s,9.73232E-05,p,0.00029197,s,4.25866E-05,p,0.00012776
s,0.000124504,p,0.000373512,s,5.03356E-05,p,0.000151007
s,0.000106882,p,0.000320647,s,4.73773E-05,p,0.000142132
s,0.000127638,p,0.000382913,s,5.28971E-05,p,0.000158691
s,0.000115793,p,0.000347378,s,4.33624E-05,p,0.000130087
s,0.000106261,p,0.000318783,s,3.80196E-05,p,0.000114059
s,0.000143519,p,0.000430557,s,5.66569E-05,p,0.000169971
s,0.000128032,p,0.000384097,s,5.19677E-05,p,0.000155903
s,0.000123401,p,0.000370204,s,5.90484E-05,p,0.000177145
s,9.25351E-05,p,0.000277605,s,4.52828E-05,p,0.000135849
s,0.000114984,p,0.000344951,s,4.59173E-05,p,0.000137752
s,0.000117667,p,0.000353,s,4.8494E-05,p,0.000145482
s,0.000114136,p,0.000342408,s,4.1605E-05,p,0.000124815
s,9.764E-05,p,0.00029292,s,5.63852E-05,p,0.000169156
s,0.000119749,p,0.000359246,s,4.83329E-05,p,0.000144999
s,9.52912E-05,p,0.000285874,s,4.7353E-05,p,0.000142059
s,0.000134517,p,0.000403551,s,4.59807E-05,p,0.000137942
s,9.82427E-05,p,0.000294728,s,4.0653E-05,p,0.000121959
s,0.000115714,p,0.000347142,s,5.72803E-05,p,0.000171841
s,9.65742E-05,p,0.000289723,s,4.84216E-05,p,0.000145265
s,9.20016E-05,p,0.000276005,s,5.31221E-05,p,0.000159366
s,8.90328E-05,p,0.000267098,s,4.6102E-05,p,0.000138306
s,0.000116095,p,0.000348285,s,4.65824E-05,p,0.000139747
s,0.000152606,p,0.000457817,s,4.46027E-05,p,0.000133808
s,0.000127574,p,0.000382721,s,4.57893E-05,p,0.000137368
s,0.000101225,p,0.000303676,s,4.31342E-05,p,0.000129403
s,0.000140478,p,0.000421433,s,4.82019E-05,p,0.000144606
s,8.90525E-05,p,0.000267157,s,5.3781E-05,p,0.000161343
s,0.000115264,p,0.000345793,s,5.30654E-05,p,0.000159196
s,0.000123214,p,0.000369642,s,5.21329E-05,p,0.000156399
s,0.00011618,p,0.000348541,s,4.22318E-05,p,0.000126696
s,0.000130913,p,0.000392738,s,4.23461E-05,p,0.000127038
s,0.000101131,p,0.000303392,s,5.28875E-05,p,0.000158663
s,0.000113061,p,0.000339184,s,4.03555E-05,p,0.000121066
s,0.000103369,p,0.000310108,s,4.44545E-05,p,0.000133364
s,0.000125931,p,0.000377794,s,3.99159E-05,p,0.000119748
s,9.4541E-05,p,0.000283623,s,0.000050647,p,0.000151941
s,0.000115367,p,0.0003461,s,4.38153E-05,p,0.000131446
s,0.000131678,p,0.000395034,s,6.11896E-05,p,0.000183569
s,0.00012554,p,0.00037662,s,4.25566E-05,p,0.00012767
s,0.000105758,p,0.000317275,s,4.75486E-05,p,0.000142646
s,0.00012804,p,0.00038412,s,4.69624E-05,p,0.000140887
s,0.000103233,p,0.0003097,s,4.23094E-05,p,0.000126928
s,0.000124103,p,0.000372308,s,5.49559E-05,p,0.000164868
s,0.000114568,p,0.000343704,s,5.32412E-05,p,0.000159724
s,0.000127177,p,0.000381531,s,5.61132E-05,p,0.00016834
s,0.000100491,p,0.000301472,s,5.49709E-05,p,0.000164913
s,0.00011837,p,0.000355109,s,4.35423E-05,p,0.000130627
s,0.000118159,p,0.000354476,s,3.67903E-05,p,0.000110371
s,0.000121496,p,0.000364488,s,3.90648E-05,p,0.000117194
s,0.000114295,p,0.000342886,s,4.84956E-05,p,0.000145487
s,0.000124386,p,0.000373157,s,5.10856E-05,p,0.000153257
s,0.000113993,p,0.00034198,s,5.17443E-05,p,0.000155233
s,9.97117E-05,p,0.000299135,s,5.05171E-05,p,0.000151551
s,0.000105696,p,0.000317087,s,4.14349E-05,p,0.000124305
s,0.000101816,p,0.000305449,s,3.9607E-05,p,0.000118821
s,0.000112476,p,0.000337427,s,5.13025E-05,p,0.000153908
s,0.000100047,p,0.00030014,s,4.20918E-05,p,0.000126275
s,0.00011109,p,0.000333271,s,5.55511E-05,p,0.000166653
s,0.000141514,p,0.000424541,s,5.33742E-05,p,0.000160123
s,0.000108699,p,0.000326097,s,4.77806E-05,p,0.000143342
s,0.000140896,p,0.000422688,s,4.7816E-05,p,0.000143448
s,0.000113251,p,0.000339754,s,4.2819E-05,p,0.000128457
s,0.000119733,p,0.0003592,s,6.39859E-05,p,0.000191958
s,0.000102997,p,0.000308992,s,6.15227E-05,p,0.000184568
s,0.000123345,p,0.000370036,s,4.86071E-05,p,0.000145821
s,0.000122731,p,0.000368193,s,5.01248E-05,p,0.000150374
s,0.000131727,p,0.00039518,s,4.96507E-05,p,0.000148952
s,0.000104069,p,0.000312207,s,4.42605E-05,p,0.000132781
s,9.92661E-05,p,0.000297798,s,4.5656E-05,p,0.000136968
s,0.000120825,p,0.000362475,s,5.782E-05,p,0.00017346
s,0.000101324,p,0.000303973,s,4.97006E-05,p,0.000149102
s,0.000116636,p,0.000349907,s,5.87634E-05,p,0.00017629
s,0.000132157,p,0.00039647,s,5.11425E-05,p,0.000153428
s,0.000107266,p,0.000321799,s,5.21505E-05,p,0.000156452
s,0.000106725,p,0.000320176,s,4.81856E-05,p,0.000144557
s,0.000109609,p,0.000328826,s,4.75992E-05,p,0.000142797
s,0.000102948,p,0.000308844,s,4.65995E-05,p,0.000139799
s,9.86784E-05,p,0.000296035,s,4.95451E-05,p,0.000148635
s,0.000101492,p,0.000304477,s,4.92715E-05,p,0.000147814
s,0.000111596,p,0.000334787,s,4.68304E-05,p,0.000140491
s,0.000118481,p,0.000355442,s,4.46367E-05,p,0.00013391
s,0.000112144,p,0.000336432,s,4.60715E-05,p,0.000138215
s,0.00010539,p,0.000316171,s,4.38504E-05,p,0.000131551
s,0.000115995,p,0.000347986,s,5.15661E-05,p,0.000154698
s,0.000116358,p,0.000349075,s,5.23829E-05,p,0.000157149
s,0.000127263,p,0.000381789,s,4.63438E-05,p,0.000139031
s,9.7234E-05,p,0.000291702,s,4.73028E-05,p,0.000141908
s,0.000124919,p,0.000374758,s,5.70907E-05,p,0.000171272
s,9.7167E-05,p,0.000291501,s,3.87406E-05,p,0.000116222
s,0.000124384,p,0.000373153,s,4.78408E-05,p,0.000143522
s,0.000128386,p,0.000385158,s,5.68333E-05,p,0.0001705
s,0.000119216,p,0.000357647,s,4.42934E-05,p,0.00013288
s,0.000103025,p,0.000309074,s,4.78288E-05,p,0.000143486
s,8.95752E-05,p,0.000268726,s,5.38915E-05,p,0.000161675
s,0.000108854,p,0.000326563,s,3.63352E-05,p,0.000109006
s,0.000109551,p,0.000328654,s,4.129E-05,p,0.00012387
s,9.47269E-05,p,0.000284181,s,4.07852E-05,p,0.000122356
s,0.000109335,p,0.000328005,s,4.69987E-05,p,0.000140996
s,0.000106469,p,0.000319408,s,5.29083E-05,p,0.000158725
s,0.000112576,p,0.000337728,s,4.3595E-05,p,0.000130785
s,0.000106346,p,0.000319038,s,4.94296E-05,p,0.000148289
s,0.000114451,p,0.000343353,s,5.25328E-05,p,0.000157599
s,0.00011206,p,0.00033618,s,5.32017E-05,p,0.000159605
s,0.000122974,p,0.000368921,s,5.01864E-05,p,0.000150559
s,0.000122497,p,0.000367491,s,5.37051E-05,p,0.000161115
s,0.000112198,p,0.000336595,s,4.17667E-05,p,0.0001253
s,0.000104326,p,0.000312979,s,4.8597E-05,p,0.000145791
s,0.00010448,p,0.000313441,s,3.99662E-05,p,0.000119899
s,0.00012669,p,0.00038007,s,4.31876E-05,p,0.000129563
s,0.00010781,p,0.000323431,s,4.7324E-05,p,0.000141972
s,0.000100745,p,0.000302234,s,4.21331E-05,p,0.000126399
s,9.89777E-05,p,0.000296933,s,4.99459E-05,p,0.000149838
s,0.000141767,p,0.0004253,s,5.69965E-05,p,0.000170989
s,0.000123945,p,0.000371834,s,5.24994E-05,p,0.000157498
s,0.000124779,p,0.000374336,s,3.88832E-05,p,0.00011665
s,9.82587E-05,p,0.000294776,s,4.27158E-05,p,0.000128147
s,0.000124851,p,0.000374553,s,5.35147E-05,p,0.000160544
s,9.96678E-05,p,0.000299003,s,5.1834E-05,p,0.000155502
s,0.000110405,p,0.000331215,s,5.46934E-05,p,0.00016408
s,0.000109133,p,0.000327398,s,5.90498E-05,p,0.000177149
s,0.000117018,p,0.000351053,s,5.08851E-05,p,0.000152655
s,0.000126781,p,0.000380344,s,3.86248E-05,p,0.000115874
s,0.000123129,p,0.000369388,s,4.58229E-05,p,0.000137469
s,0.000105223,p,0.000315668,s,3.81753E-05,p,0.000114526
s,0.000125301,p,0.000375903,s,4.85933E-05,p,0.00014578
s,8.424E-05,p,0.00025272,s,4.34882E-05,p,0.000130464
s,0.000113126,p,0.000339378,s,4.76719E-05,p,0.000143016
s,0.000113658,p,0.000340973,s,4.91984E-05,p,0.000147595
s,0.000103268,p,0.000309804,s,4.54196E-05,p,0.000136259
s,0.000115736,p,0.000347207,s,4.4589E-05,p,0.000133767
s,0.000113567,p,0.000340701,s,4.44197E-05,p,0.000133259
