cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,0.000124749,p,0.000374246
s,9.58596E-05,p,0.000287579
s,0.000113588,p,0.000340764
s,0.000115453,p,0.000346358
s,0.000106958,p,0.000320873
s,0.000126043,p,0.00037813
s,0.000126583,p,0.000379749
s,8.98078E-05,p,0.000269423
s,0.000104672,p,0.000314016
s,0.000103199,p,0.000309596
s,0.000115048,p,0.000345143
s,0.000119128,p,0.000357383
s,0.000105797,p,0.000317391
s,0.000114018,p,0.000342054
s,0.000104981,p,0.000314943
s,0.000113845,p,0.000341534
s,0.000119509,p,0.000358527
s,0.000126304,p,0.000378913
s,0.000110189,p,0.000330568
s,0.000142813,p,0.00042844
s,0.000118917,p,0.000356752
s,0.000111562,p,0.000334686
s,0.000103483,p,0.000310449
s,9.11164E-05,p,0.000273349
s,0.000101331,p,0.000303992
s,0.000121698,p,0.000365094
s,0.000121511,p,0.000364534
s,0.00011467,p,0.00034401
s,0.000131313,p,0.00039394
s,9.14634E-05,p,0.00027439
s,0.000120969,p,0.000362906
s,0.000107124,p,0.000321373
s,9.341E-05,p,0.00028023
s,0.000118004,p,0.000354011
s,8.71122E-05,p,0.000261337
s,0.000115605,p,0.000346815
s,9.82384E-05,p,0.000294715
s,0.000123064,p,0.000369193
s,0.000129183,p,0.000387549
s,0.000115277,p,0.000345831
s,0.000122411,p,0.000367232
s,0.000140907,p,0.000422721
s,0.000116534,p,0.000349603
s,0.00012406,p,0.00037218
s,9.28703E-05,p,0.000278611
s,0.000123005,p,0.000369015
s,0.000122019,p,0.000366056
s,0.000116799,p,0.000350398
s,0.000123363,p,0.000370089
s,0.000111534,p,0.000334603
s,0.000108526,p,0.000325577
s,0.00012065,p,0.00036195
s,0.000131495,p,0.000394485
s,0.000121253,p,0.000363758
s,9.32643E-05,p,0.000279793
s,0.000110682,p,0.000332046
s,8.94966E-05,p,0.00026849
s,0.000100375,p,0.000301124
s,0.000103197,p,0.00030959
s,0.000109496,p,0.000328487
s,0.000111667,p,0.000335002
s,9.74823E-05,p,0.000292447
s,0.000125562,p,0.000376687
s,0.000110602,p,0.000331807
s,9.51775E-05,p,0.000285533
s,0.000108032,p,0.000324097
s,0.000121139,p,0.000363418
s,0.00010191,p,0.00030573
s,9.6554E-05,p,0.000289662
s,0.000132717,p,0.000398152
s,9.28983E-05,p,0.000278695
s,0.000117869,p,0.000353607
s,0.00011672,p,0.00035016
s,0.000103849,p,0.000311547
s,0.000102098,p,0.000306294
s,0.00012409,p,0.000372269
s,0.000119871,p,0.000359613
s,6.97544E-05,p,0.000209263
s,0.00013011,p,0.000390329
s,0.000113999,p,0.000341997
s,9.73106E-05,p,0.000291932
s,0.000101243,p,0.00030373
s,0.000104087,p,0.000312261
s,0.000103141,p,0.000309424
s,0.000105583,p,0.000316749
s,0.000114121,p,0.000342364
s,9.47094E-05,p,0.000284128
s,0.00010532,p,0.00031596
s,0.000107889,p,0.000323668
s,0.000117688,p,0.000353063
s,0.00010779,p,0.00032337
s,0.000130478,p,0.000391434
s,0.000115649,p,0.000346947
s,0.000105559,p,0.000316678
s,0.000119103,p,0.000357308
s,0.000117305,p,0.000351914
s,0.000103863,p,0.00031159
s,0.000116333,p,0.000348999
s,0.000140706,p,0.000422117
s,9.86484E-05,p,0.000295945
s,9.743E-05,p,0.00029229
s,0.00012217,p,0.000366509
s,0.000131976,p,0.000395928
s,0.000136661,p,0.000409984
s,0.000109996,p,0.000329989
s,0.000120451,p,0.000361354
s,0.000118943,p,0.000356828
s,0.000110814,p,0.000332441
s,9.34885E-05,p,0.000280465
s,0.000125765,p,0.000377295
s,0.000105572,p,0.000316715
s,0.000122773,p,0.000368318
s,0.000104289,p,0.000312868
s,0.000122198,p,0.000366593
s,9.13106E-05,p,0.000273932
s,0.000104091,p,0.000312273
s,0.000117932,p,0.000353795
s,0.000107127,p,0.000321382
s,0.000122844,p,0.000368532
s,0.000111727,p,0.000335182
s,0.000110402,p,0.000331207
s,0.000124237,p,0.000372711
s,9.63777E-05,p,0.000289133
s,0.000121383,p,0.000364149
s,0.000112366,p,0.000337098
s,0.000106474,p,0.000319421
s,0.000105392,p,0.000316176
s,0.000125332,p,0.000375997
s,0.000112616,p,0.000337848
s,9.54101E-05,p,0.00028623
s,0.000118996,p,0.000356989
s,0.000139385,p,0.000418154
s,9.4896E-05,p,0.000284688
s,0.00011644,p,0.000349319
s,0.000151028,p,0.000453085
s,0.000102767,p,0.000308301
s,0.000113352,p,0.000340055
s,0.000120744,p,0.000362231
s,9.63136E-05,p,0.000288941
s,0.000109238,p,0.000327715
s,0.000118339,p,0.000355016
s,0.000108466,p,0.000325398
s,9.16098E-05,p,0.000274829
s,0.000110138,p,0.000330414
s,0.000116033,p,0.000348098
s,0.000107445,p,0.000322336
s,9.08403E-05,p,0.000272521
s,0.000101621,p,0.000304864
s,0.000119151,p,0.000357453
s,0.000110548,p,0.000331645
s,0.000130592,p,0.000391775
s,0.000108695,p,0.000326086
s,9.55657E-05,p,0.000286697
s,0.000107696,p,0.000323088
s,0.000113508,p,0.000340525
s,0.000105987,p,0.000317961
s,0.00010476,p,0.000314279
s,0.000112539,p,0.000337617
s,0.000120285,p,0.000360856
s,0.000116809,p,0.000350426
s,0.000105568,p,0.000316705
s,0.000127551,p,0.000382653
s,0.000116577,p,0.00034973
s,9.95976E-05,p,0.000298793
s,0.000119356,p,0.000358068
s,0.000128118,p,0.000384354
s,0.000121545,p,0.000364635
s,0.000115252,p,0.000345756
s,0.000103589,p,0.000310766
s,0.00011162,p,0.000334859
s,9.55496E-05,p,0.000286649
s,0.000126565,p,0.000379694
s,0.000102534,p,0.000307601
s,0.000109162,p,0.000327486
s,0.000141764,p,0.000425293
s,0.000122932,p,0.000368797
s,9.6996E-05,p,0.000290988
s,0.000134556,p,0.000403668
s,0.000112025,p,0.000336075
s,0.000101519,p,0.000304558
s,9.1239E-05,p,0.000273717
s,9.55274E-05,p,0.000286582
s,0.000111843,p,0.000335529
s,8.22005E-05,p,0.000246601
s,9.83834E-05,p,0.00029515
s,9.91859E-05,p,0.000297558
s,0.000114209,p,0.000342626
s,0.000112809,p,0.000338428
s,0.000129944,p,0.000389832
s,0.000114947,p,0.000344841
s,9.63149E-05,p,0.000288945
s,8.77977E-05,p,0.000263393
s,0.000115112,p,0.000345337
s,0.000101472,p,0.000304415
s,9.79565E-05,p,0.000293869
s,9.62477E-05,p,0.000288743
s,9.62096E-05,p,0.000288629
s,0.000103334,p,0.000310001
s,0.000109543,p,0.000328629
s,0.000112732,p,0.000338196
s,0.000122893,p,0.00036868
s,0.000121323,p,0.000363968
s,7.94599E-05,p,0.00023838
s,0.000118631,p,0.000355893
s,9.05755E-05,p,0.000271727
s,0.000146979,p,0.000440936
s,0.000120915,p,0.000362744
s,0.000103866,p,0.000311599
s,0.000125366,p,0.000376099
s,0.000128758,p,0.000386274
s,0.000109391,p,0.000328174
s,9.44903E-05,p,0.000283471
s,0.000133302,p,0.000399905
s,0.000116783,p,0.000350348
s,0.000137245,p,0.000411735
s,0.000112896,p,0.000338688
s,0.000119107,p,0.000357321
s,0.000111948,p,0.000335843
s,0.000120574,p,0.000361722
s,0.000115783,p,0.00034735
s,0.00012477,p,0.00037431
s,0.000137037,p,0.00041111
s,0.00014566,p,0.000436979
s,0.000138022,p,0.000414066
s,0.000103764,p,0.000311292
s,0.000117048,p,0.000351144
s,0.000115292,p,0.000345877
s,0.000107602,p,0.000322807
s,0.000106074,p,0.000318221
s,8.98447E-05,p,0.000269534
s,0.000118783,p,0.000356349
s,0.000114043,p,0.000342129
s,0.00011462,p,0.000343861
s,0.000102211,p,0.000306634
s,0.000121857,p,0.00036557
s,0.000104148,p,0.000312445
s,9.56451E-05,p,0.000286935
s,0.000117287,p,0.000351861
s,0.00012361,p,0.00037083
s,0.00010359,p,0.00031077
s,0.000122971,p,0.000368912
s,0.00011137,p,0.000334109
s,0.000118457,p,0.00035537
s,0.000108211,p,0.000324632
s,0.000110054,p,0.000330161
s,0.000105597,p,0.000316791
s,0.000124471,p,0.000373412
s,0.000113289,p,0.000339866
s,9.24003E-05,p,0.000277201
s,8.73162E-05,p,0.000261949
s,0.000125408,p,0.000376225
s,0.000107117,p,0.00032135
s,0.000128642,p,0.000385926
s,0.000101723,p,0.00030517
s,9.60548E-05,p,0.000288164
s,0.00010152,p,0.00030456
s,0.000118724,p,0.000356173
s,0.000121961,p,0.000365884
s,0.000102135,p,0.000306405
s,9.82078E-05,p,0.000294623
s,0.000133387,p,0.00040016
s,0.00011972,p,0.000359161
s,0.000106951,p,0.000320854
s,0.000127847,p,0.00038354
s,0.000124985,p,0.000374955
s,0.000127724,p,0.000383171
s,0.000123859,p,0.000371578
s,0.000125067,p,0.0003752
s,0.000104618,p,0.000313853
s,0.000104243,p,0.000312729
s,0.000120605,p,0.000361814
s,0.000105351,p,0.000316052
s,0.000124606,p,0.000373817
s,0.0001265,p,0.000379501
s,0.000103255,p,0.000309765
s,0.000119984,p,0.000359951
s,0.000110221,p,0.000330662
s,9.96924E-05,p,0.000299077
s,9.19426E-05,p,0.000275828
s,0.000115592,p,0.000346775
s,0.000118837,p,0.00035651
s,9.41465E-05,p,0.00028244
s,0.000113001,p,0.000339004
s,0.00012229,p,0.000366871
s,0.000126611,p,0.000379833
s,0.000106325,p,0.000318976
s,0.000120879,p,0.000362636
s,0.000117291,p,0.000351873
s,0.000117651,p,0.000352953
s,0.000112368,p,0.000337105
s,0.000130808,p,0.000392425
s,0.000101571,p,0.000304713
s,9.76775E-05,p,0.000293033
s,9.54303E-05,p,0.000286291
s,0.000127694,p,0.000383081
s,0.000119374,p,0.000358121
s,0.00014096,p,0.000422879
s,0.000138738,p,0.000416215
s,0.000112405,p,0.000337214
s,0.000112167,p,0.000336501
s,0.00010597,p,0.000317911
s,0.000116825,p,0.000350474
s,8.81996E-05,p,0.000264599
s,0.000114663,p,0.000343988
s,0.000115136,p,0.000345408
s,0.000100856,p,0.000302568
s,0.000103848,p,0.000311545
s,0.000102111,p,0.000306333
s,0.000109904,p,0.000329713
s,0.000106568,p,0.000319704
s,0.000109448,p,0.000328343
s,0.000104121,p,0.000312364
s,0.000117233,p,0.0003517
s,0.000101731,p,0.000305193
s,0.000119283,p,0.000357848
s,0.00012226,p,0.000366779
s,0.000146206,p,0.000438617
s,9.52873E-05,p,0.000285862
s,0.000123001,p,0.000369002
s,0.000124039,p,0.000372117
s,0.000102256,p,0.000306768
s,0.000116668,p,0.000350004
s,0.000116396,p,0.000349188
s,0.000123758,p,0.000371275
s,0.000100058,p,0.000300175
s,0.000111629,p,0.000334886
s,7.30118E-05,p,0.000219036
s,0.000101268,p,0.000303804
s,0.000111104,p,0.000333311
s,0.000144593,p,0.000433779
s,0.000135832,p,0.000407497
s,0.000106786,p,0.000320358
s,0.000114745,p,0.000344236
s,9.21987E-05,p,0.000276596
s,0.000100838,p,0.000302513
s,0.00010132,p,0.000303961
s,0.000117525,p,0.000352576
s,0.000107085,p,0.000321255
s,0.000105929,p,0.000317788
s,0.000117463,p,0.000352389
s,0.000109428,p,0.000328283
s,0.000136016,p,0.000408048
s,0.000136894,p,0.000410682
s,0.000103367,p,0.000310102
s,0.000110285,p,0.000330856
s,0.000118786,p,0.000356359
s,8.83738E-05,p,0.000265121
s,0.000122884,p,0.000368653
s,0.000107036,p,0.000321107
s,0.000115996,p,0.000347989
s,9.39702E-05,p,0.000281911
s,0.000103108,p,0.000309324
s,0.000130589,p,0.000391766
s,0.000110402,p,0.000331206
s,9.98072E-05,p,0.000299422
s,0.000127594,p,0.000382782
s,0.000100089,p,0.000300266
s,9.91966E-05,p,0.00029759
s,0.000109704,p,0.000329111
s,9.59868E-05,p,0.00028796
s,0.000123262,p,0.000369786
s,0.000115432,p,0.000346296
s,0.000108114,p,0.000324341
s,0.000115319,p,0.000345957
s,0.000135271,p,0.000405814
s,0.000103388,p,0.000310163
s,0.000123276,p,0.000369828
s,9.83224E-05,p,0.000294967
s,9.55313E-05,p,0.000286594
s,0.000135916,p,0.000407747
s,0.00010443,p,0.000313289
s,9.14695E-05,p,0.000274408
s,0.00011127,p,0.000333811
s,9.79422E-05,p,0.000293827
s,9.05503E-05,p,0.000271651
s,0.000113191,p,0.000339574
s,0.00010929,p,0.000327871
s,0.000106032,p,0.000318097
s,0.000120586,p,0.000361757
s,0.000118072,p,0.000354216
s,8.64225E-05,p,0.000259267
s,0.000111484,p,0.000334451
s,0.000122877,p,0.000368631
s,0.000103474,p,0.000310423
s,0.000126891,p,0.000380673
s,0.000130827,p,0.00039248
s,0.000122753,p,0.000368259
s,0.000108706,p,0.000326119
s,9.71631E-05,p,0.000291489
s,0.000109061,p,0.000327182
s,0.000105007,p,0.00031502
s,0.000113811,p,0.000341433
s,0.000118814,p,0.000356442
s,0.000139589,p,0.000418766
s,0.000140792,p,0.000422376
s,0.000117272,p,0.000351815
s,0.000116105,p,0.000348314
s,0.000104756,p,0.000314267
s,0.000104439,p,0.000313317
s,9.78085E-05,p,0.000293425
s,0.000113772,p,0.000341316
s,0.000126379,p,0.000379138
s,0.000133851,p,0.000401554
s,0.000100408,p,0.000301225
s,0.000131184,p,0.000393552
s,0.000106464,p,0.000319393
s,8.88221E-05,p,0.000266466
s,0.000107207,p,0.00032162
s,0.000115427,p,0.000346282
s,0.000115844,p,0.000347532
s,9.35572E-05,p,0.000280672
s,0.00010366,p,0.000310979
s,0.000115221,p,0.000345663
