cond.s.m,echo.s.m,cond.p.m,echo.p.m
1,0.000104221,p,0.000312664
1,0.000114357,p,0.000343072
1,0.000141391,p,0.000424174
1,0.0001139,p,0.000341699
1,0.000127226,p,0.000381677
1,0.000107747,p,0.000323242
1,0.000109391,p,0.000328172
1,0.0001612,p,0.000483601
1,0.000143517,p,0.000430552
1,0.000144542,p,0.000433626
1,0.000108141,p,0.000324422
1,0.000119832,p,0.000359497
1,0.000105084,p,0.000315251
1,0.000130962,p,0.000392886
1,9.83174E-05,p,0.000294952
1,0.000121946,p,0.000365838
1,0.000148407,p,0.000445222
1,9.17169E-05,p,0.000275151
1,0.000116591,p,0.000349772
1,0.000109032,p,0.000327096
1,0.000129252,p,0.000387755
1,0.000108539,p,0.000325618
1,0.000114622,p,0.000343867
1,0.000102997,p,0.000308991
1,0.000107634,p,0.000322901
1,0.000107421,p,0.000322264
1,0.000104439,p,0.000313316
1,9.95835E-05,p,0.000298751
1,0.000106799,p,0.000320397
1,0.000109435,p,0.000328306
1,0.000110797,p,0.000332391
1,0.000111486,p,0.000334458
1,0.000138999,p,0.000416997
1,0.000100911,p,0.000302733
1,0.000126263,p,0.000378788
1,0.00012621,p,0.00037863
1,8.02116E-05,p,0.000240635
1,0.000111954,p,0.000335862
1,0.000140628,p,0.000421885
1,9.31492E-05,p,0.000279448
1,0.000138306,p,0.000414917
1,0.000155389,p,0.000466166
1,0.000110277,p,0.000330832
1,0.000119191,p,0.000357574
1,0.000134132,p,0.000402396
1,7.74261E-05,p,0.000232278
1,0.000113928,p,0.000341784
1,0.000111322,p,0.000333966
1,0.000116635,p,0.000349904
1,0.000110531,p,0.000331593
1,0.000141345,p,0.000424036
1,0.000113643,p,0.000340929
1,9.73449E-05,p,0.000292035
1,8.27885E-05,p,0.000248366
1,0.000144057,p,0.000432171
1,0.00010955,p,0.000328651
1,0.000113477,p,0.00034043
1,0.000104533,p,0.000313599
1,0.000116985,p,0.000350954
1,0.000125303,p,0.000375908
1,9.1844E-05,p,0.000275532
1,0.000147178,p,0.000441533
1,0.000143695,p,0.000431084
1,8.2509E-05,p,0.000247527
1,0.000100668,p,0.000302003
1,0.000138771,p,0.000416312
1,0.000144074,p,0.000432223
1,0.000114158,p,0.000342473
1,0.000112558,p,0.000337674
1,0.000115634,p,0.000346903
1,0.000127696,p,0.000383089
1,0.000143106,p,0.000429318
1,0.000125514,p,0.000376543
1,0.000108145,p,0.000324436
1,8.58004E-05,p,0.000257401
1,9.69011E-05,p,0.000290703
1,0.000100906,p,0.000302719
1,0.000144989,p,0.000434967
1,0.00012071,p,0.00036213
1,0.000122718,p,0.000368153
1,0.000108966,p,0.000326899
1,0.000129673,p,0.00038902
1,0.000120848,p,0.000362544
1,6.74298E-05,p,0.000202289
1,0.000129184,p,0.000387552
1,0.000136858,p,0.000410573
1,0.000115992,p,0.000347975
1,0.000118324,p,0.000354973
1,0.000125341,p,0.000376023
1,0.000121733,p,0.000365198
1,0.000116021,p,0.000348063
1,0.000109837,p,0.00032951
1,0.000117207,p,0.000351622
1,0.000123062,p,0.000369185
1,0.000128913,p,0.000386738
1,0.00010508,p,0.000315239
1,0.00012154,p,0.000364621
1,9.06201E-05,p,0.00027186
1,0.000129368,p,0.000388103
1,0.000118886,p,0.000356659
1,0.000136546,p,0.000409639
1,9.42492E-05,p,0.000282748
1,0.000120035,p,0.000360106
1,0.000126584,p,0.000379752
1,0.000136902,p,0.000410706
1,0.000137411,p,0.000412234
1,9.02907E-05,p,0.000270872
1,9.80799E-05,p,0.00029424
1,0.000127117,p,0.000381351
1,0.000119542,p,0.000358625
1,9.57662E-05,p,0.000287299
1,0.000155805,p,0.000467415
1,0.000124135,p,0.000372406
1,0.000139248,p,0.000417745
1,0.000143118,p,0.000429355
1,0.000112821,p,0.000338463
1,9.00882E-05,p,0.000270265
1,0.000113619,p,0.000340856
1,9.26676E-05,p,0.000278003
1,0.00012503,p,0.000375089
1,0.000115925,p,0.000347776
1,0.000115364,p,0.000346093
1,0.000113573,p,0.00034072
1,0.000105056,p,0.000315169
1,0.000115253,p,0.00034576
1,0.000111506,p,0.000334517
1,0.000123376,p,0.000370129
1,0.000130009,p,0.000390028
1,0.000106956,p,0.000320867
1,0.000108043,p,0.000324129
1,0.000123872,p,0.000371615
1,0.000123127,p,0.00036938
1,0.000125617,p,0.00037685
1,0.000139985,p,0.000419955
1,0.000135945,p,0.000407834
1,0.000104538,p,0.000313613
1,0.000155709,p,0.000467126
1,0.000117776,p,0.000353328
1,9.90515E-05,p,0.000297155
1,0.000119482,p,0.000358446
1,9.07912E-05,p,0.000272374
1,9.94863E-05,p,0.000298459
1,0.000133925,p,0.000401774
1,0.000112747,p,0.000338241
1,0.000156622,p,0.000469865
1,0.000115665,p,0.000346994
1,0.000118688,p,0.000356063
1,0.00012794,p,0.00038382
1,0.000144237,p,0.00043271
1,0.000137575,p,0.000412725
1,0.000121941,p,0.000365822
1,0.000120147,p,0.000360441
1,0.000123863,p,0.000371589
1,0.000132117,p,0.000396351
1,0.000124524,p,0.000373571
1,0.000112717,p,0.000338152
1,8.52937E-05,p,0.000255881
1,0.000118824,p,0.000356471
1,0.000117716,p,0.000353147
1,0.000108179,p,0.000324536
1,0.000124079,p,0.000372238
1,0.000147494,p,0.000442483
1,7.92477E-05,p,0.000237743
1,0.000159902,p,0.000479707
1,0.000112467,p,0.000337402
1,0.000113769,p,0.000341308
1,9.78283E-05,p,0.000293485
1,0.000136346,p,0.000409039
1,0.000116644,p,0.000349932
1,0.000114666,p,0.000343999
1,0.000121981,p,0.000365942
1,0.000143407,p,0.00043022
1,0.000138803,p,0.000416408
1,0.000102376,p,0.000307129
1,0.000102856,p,0.000308567
1,0.000110764,p,0.000332292
1,9.75346E-05,p,0.000292604
1,0.00011731,p,0.000351929
1,0.000111273,p,0.00033382
1,0.000124011,p,0.000372034
1,0.000151059,p,0.000453178
1,0.000100147,p,0.000300442
1,0.00010549,p,0.000316471
1,0.000101659,p,0.000304976
1,0.000114708,p,0.000344125
1,8.54497E-05,p,0.000256349
1,0.000118435,p,0.000355306
1,0.000143271,p,0.000429812
1,0.000108167,p,0.0003245
1,0.000123924,p,0.000371772
1,0.000128215,p,0.000384644
1,0.000131437,p,0.00039431
1,0.000131869,p,0.000395608
1,0.00010215,p,0.000306451
1,8.94446E-05,p,0.000268334
1,0.000105949,p,0.000317846
1,0.000140915,p,0.000422744
1,0.000127917,p,0.000383751
1,9.57063E-05,p,0.000287119
1,0.000130736,p,0.000392208
1,0.000123327,p,0.000369981
1,0.000114654,p,0.000343963
1,0.000139556,p,0.000418669
1,0.000111114,p,0.000333342
1,0.000146604,p,0.000439812
1,0.000117662,p,0.000352985
1,9.22344E-05,p,0.000276703
1,0.000113397,p,0.00034019
1,9.60171E-05,p,0.000288051
1,0.000130411,p,0.000391232
1,0.000148724,p,0.000446172
1,8.18386E-05,p,0.000245516
1,0.000122376,p,0.000367127
1,7.98276E-05,p,0.000239483
1,8.65063E-05,p,0.000259519
