cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,4.92715E-05,p,0.000147814
s,4.68304E-05,p,0.000140491
s,4.46367E-05,p,0.00013391
s,4.60715E-05,p,0.000138215
s,4.38504E-05,p,0.000131551
s,5.15661E-05,p,0.000154698
s,5.23829E-05,p,0.000157149
s,4.63438E-05,p,0.000139031
s,4.73028E-05,p,0.000141908
s,5.70907E-05,p,0.000171272
s,3.87406E-05,p,0.000116222
s,4.78408E-05,p,0.000143522
s,5.68333E-05,p,0.0001705
s,4.42934E-05,p,0.00013288
s,4.78288E-05,p,0.000143486
s,5.38915E-05,p,0.000161675
s,3.63352E-05,p,0.000109006
s,4.129E-05,p,0.00012387
s,4.07852E-05,p,0.000122356
s,4.69987E-05,p,0.000140996
s,5.29083E-05,p,0.000158725
s,4.3595E-05,p,0.000130785
s,4.94296E-05,p,0.000148289
s,5.25328E-05,p,0.000157599
s,5.32017E-05,p,0.000159605
s,5.01864E-05,p,0.000150559
s,5.37051E-05,p,0.000161115
s,4.17667E-05,p,0.0001253
s,4.8597E-05,p,0.000145791
s,3.99662E-05,p,0.000119899
s,4.31876E-05,p,0.000129563
s,4.7324E-05,p,0.000141972
s,4.21331E-05,p,0.000126399
s,4.99459E-05,p,0.000149838
s,5.69965E-05,p,0.000170989
s,5.24994E-05,p,0.000157498
s,3.88832E-05,p,0.00011665
s,4.27158E-05,p,0.000128147
s,5.35147E-05,p,0.000160544
s,5.1834E-05,p,0.000155502
s,5.46934E-05,p,0.00016408
s,5.90498E-05,p,0.000177149
s,5.08851E-05,p,0.000152655
s,3.86248E-05,p,0.000115874
s,4.58229E-05,p,0.000137469
s,3.81753E-05,p,0.000114526
s,4.85933E-05,p,0.00014578
s,4.34882E-05,p,0.000130464
s,4.76719E-05,p,0.000143016
s,4.91984E-05,p,0.000147595
s,4.54196E-05,p,0.000136259
s,4.4589E-05,p,0.000133767
s,4.44197E-05,p,0.000133259
s,3.70629E-05,p,0.000111189
s,5.91903E-05,p,0.000177571
s,4.12585E-05,p,0.000123776
s,5.04454E-05,p,0.000151336
s,5.15784E-05,p,0.000154735
s,4.69306E-05,p,0.000140792
s,4.15206E-05,p,0.000124562
s,4.02184E-05,p,0.000120655
s,3.97797E-05,p,0.000119339
s,4.515E-05,p,0.00013545
s,5.63762E-05,p,0.000169129
s,4.47695E-05,p,0.000134308
s,5.16733E-05,p,0.00015502
s,4.50582E-05,p,0.000135175
s,4.61986E-05,p,0.000138596
s,5.24249E-05,p,0.000157275
s,4.38132E-05,p,0.000131439
s,4.49608E-05,p,0.000134882
s,5.80958E-05,p,0.000174287
s,4.81024E-05,p,0.000144307
s,4.67828E-05,p,0.000140348
s,4.4081E-05,p,0.000132243
s,5.69471E-05,p,0.000170841
s,4.36152E-05,p,0.000130846
s,5.04805E-05,p,0.000151441
s,3.93285E-05,p,0.000117985
s,4.69062E-05,p,0.000140719
s,4.2493E-05,p,0.000127479
s,3.77636E-05,p,0.000113291
s,4.60159E-05,p,0.000138048
s,5.01718E-05,p,0.000150515
s,3.91058E-05,p,0.000117318
s,3.86983E-05,p,0.000116095
s,4.61109E-05,p,0.000138333
s,4.58563E-05,p,0.000137569
s,4.4207E-05,p,0.000132621
s,4.51344E-05,p,0.000135403
s,5.0569E-05,p,0.000151707
s,4.03877E-05,p,0.000121163
s,5.09028E-05,p,0.000152708
s,6.13512E-05,p,0.000184053
s,5.19981E-05,p,0.000155994
s,4.84257E-05,p,0.000145277
s,4.93985E-05,p,0.000148195
s,4.39686E-05,p,0.000131906
s,3.78383E-05,p,0.000113515
s,4.78621E-05,p,0.000143586
s,5.24388E-05,p,0.000157316
s,4.36777E-05,p,0.000131033
s,4.47841E-05,p,0.000134352
s,4.82391E-05,p,0.000144717
s,3.96604E-05,p,0.000118981
s,4.97102E-05,p,0.000149131
s,4.55915E-05,p,0.000136775
s,4.84644E-05,p,0.000145393
s,4.88592E-05,p,0.000146578
s,4.64398E-05,p,0.000139319
s,3.91301E-05,p,0.00011739
s,3.92217E-05,p,0.000117665
s,4.90905E-05,p,0.000147272
s,3.6917E-05,p,0.000110751
s,4.96498E-05,p,0.00014895
s,4.26183E-05,p,0.000127855
s,5.50638E-05,p,0.000165191
s,5.43119E-05,p,0.000162936
s,4.86095E-05,p,0.000145829
s,3.85429E-05,p,0.000115629
s,4.34853E-05,p,0.000130456
s,3.04014E-05,p,9.12041E-05
s,4.46969E-05,p,0.000134091
s,4.19152E-05,p,0.000125745
s,3.87158E-05,p,0.000116147
s,5.55983E-05,p,0.000166795
s,3.40548E-05,p,0.000102164
s,5.41144E-05,p,0.000162343
s,5.28988E-05,p,0.000158696
s,5.19944E-05,p,0.000155983
s,4.64317E-05,p,0.000139295
s,4.02309E-05,p,0.000120693
s,4.87328E-05,p,0.000146198
s,6.08678E-05,p,0.000182603
s,4.22692E-05,p,0.000126808
s,5.07904E-05,p,0.000152371
s,3.43413E-05,p,0.000103024
s,4.46894E-05,p,0.000134068
s,4.35153E-05,p,0.000130546
s,5.23975E-05,p,0.000157192
s,4.65612E-05,p,0.000139684
s,4.78877E-05,p,0.000143663
s,5.05871E-05,p,0.000151761
s,4.44372E-05,p,0.000133312
s,6.20369E-05,p,0.000186111
s,5.31899E-05,p,0.00015957
s,5.01975E-05,p,0.000150593
s,5.03501E-05,p,0.00015105
s,4.55341E-05,p,0.000136602
s,5.19104E-05,p,0.000155731
s,3.52239E-05,p,0.000105672
s,5.71167E-05,p,0.00017135
s,4.38322E-05,p,0.000131497
s,4.58269E-05,p,0.000137481
s,3.505E-05,p,0.00010515
s,4.78792E-05,p,0.000143637
s,5.81566E-05,p,0.00017447
s,3.70994E-05,p,0.000111298
s,4.85866E-05,p,0.00014576
s,4.80693E-05,p,0.000144208
s,5.14543E-05,p,0.000154363
s,3.81783E-05,p,0.000114535
s,4.42385E-05,p,0.000132716
s,5.6889E-05,p,0.000170667
s,4.91011E-05,p,0.000147303
s,4.50316E-05,p,0.000135095
s,3.74762E-05,p,0.000112428
s,3.79126E-05,p,0.000113738
s,4.56829E-05,p,0.000137049
s,4.88057E-05,p,0.000146417
s,4.15982E-05,p,0.000124795
s,3.29186E-05,p,9.87557E-05
s,4.09706E-05,p,0.000122912
s,4.06501E-05,p,0.00012195
s,3.52202E-05,p,0.000105661
s,4.94623E-05,p,0.000148387
s,4.52185E-05,p,0.000135655
s,3.64629E-05,p,0.000109389
s,5.10361E-05,p,0.000153108
s,4.29483E-05,p,0.000128845
s,4.61811E-05,p,0.000138543
s,6.07637E-05,p,0.000182291
s,4.79018E-05,p,0.000143706
s,5.19133E-05,p,0.00015574
s,5.2768E-05,p,0.000158304
s,4.98911E-05,p,0.000149673
s,4.53085E-05,p,0.000135926
s,4.86115E-05,p,0.000145834
s,4.2568E-05,p,0.000127704
s,4.4989E-05,p,0.000134967
s,4.77301E-05,p,0.00014319
s,4.58173E-05,p,0.000137452
s,5.66069E-05,p,0.000169821
s,5.3574E-05,p,0.000160722
s,4.39348E-05,p,0.000131804
s,4.28602E-05,p,0.000128581
s,3.68821E-05,p,0.000110646
s,4.59909E-05,p,0.000137973
s,4.17397E-05,p,0.000125219
s,5.66003E-05,p,0.000169801
s,5.6472E-05,p,0.000169416
s,4.53702E-05,p,0.00013611
s,3.7244E-05,p,0.000111732
s,4.05819E-05,p,0.000121746
s,5.14176E-05,p,0.000154253
s,4.43794E-05,p,0.000133138
s,4.96739E-05,p,0.000149022
s,3.91392E-05,p,0.000117418
s,5.02558E-05,p,0.000150767
s,3.8747E-05,p,0.000116241
s,5.01602E-05,p,0.000150481
s,4.57426E-05,p,0.000137228
s,6.32704E-05,p,0.000189811
s,4.84136E-05,p,0.000145241
s,5.45429E-05,p,0.000163629
s,4.57799E-05,p,0.00013734
s,5.9599E-05,p,0.000178797
s,4.48924E-05,p,0.000134677
s,4.68242E-05,p,0.000140473
s,5.2411E-05,p,0.000157233
s,4.04916E-05,p,0.000121475
s,4.5398E-05,p,0.000136194
s,6.15483E-05,p,0.000184645
s,5.36427E-05,p,0.000160928
s,4.17604E-05,p,0.000125281
s,4.77951E-05,p,0.000143385
s,6.01219E-05,p,0.000180366
s,4.71469E-05,p,0.000141441
s,4.35994E-05,p,0.000130798
s,4.31216E-05,p,0.000129365
s,5.17238E-05,p,0.000155171
s,5.26051E-05,p,0.000157815
s,4.62466E-05,p,0.00013874
s,3.54681E-05,p,0.000106404
s,4.87748E-05,p,0.000146324
s,5.10163E-05,p,0.000153049
s,3.84603E-05,p,0.000115381
s,4.7605E-05,p,0.000142815
s,3.12233E-05,p,9.36699E-05
s,5.47541E-05,p,0.000164262
s,3.57435E-05,p,0.000107231
s,3.83855E-05,p,0.000115157
s,4.81333E-05,p,0.0001444
s,5.36562E-05,p,0.000160969
s,5.44827E-05,p,0.000163448
s,5.23183E-05,p,0.000156955
s,4.49754E-05,p,0.000134926
s,5.92095E-05,p,0.000177629
s,4.00664E-05,p,0.000120199
s,4.17305E-05,p,0.000125192
s,4.50609E-05,p,0.000135183
s,4.90534E-05,p,0.00014716
s,5.31157E-05,p,0.000159347
s,5.56055E-05,p,0.000166816
s,4.90139E-05,p,0.000147042
s,3.90648E-05,p,0.000117194
s,3.68376E-05,p,0.000110513
s,4.99984E-05,p,0.000149995
s,4.58997E-05,p,0.000137699
s,4.94891E-05,p,0.000148467
s,5.64666E-05,p,0.0001694
s,5.40852E-05,p,0.000162255
s,4.59355E-05,p,0.000137807
s,4.48218E-05,p,0.000134465
s,4.00347E-05,p,0.000120104
s,5.06707E-05,p,0.000152012
s,3.82439E-05,p,0.000114732
s,4.81842E-05,p,0.000144553
s,3.49535E-05,p,0.000104861
s,5.20025E-05,p,0.000156008
s,4.09936E-05,p,0.000122981
s,5.22355E-05,p,0.000156707
s,5.46575E-05,p,0.000163972
s,5.06153E-05,p,0.000151846
s,4.47467E-05,p,0.00013424
s,4.86402E-05,p,0.000145921
s,4.99354E-05,p,0.000149806
s,4.529E-05,p,0.00013587
s,3.93747E-05,p,0.000118124
s,5.27097E-05,p,0.000158129
s,4.0044E-05,p,0.000120132
s,4.84385E-05,p,0.000145316
s,5.88415E-05,p,0.000176524
s,4.90108E-05,p,0.000147032
s,4.12359E-05,p,0.000123708
s,5.1265E-05,p,0.000153795
s,4.56932E-05,p,0.00013708
s,4.53774E-05,p,0.000136132
s,4.78431E-05,p,0.000143529
s,4.63571E-05,p,0.000139071
s,4.67687E-05,p,0.000140306
s,4.4104E-05,p,0.000132312
s,5.87197E-05,p,0.000176159
s,3.96477E-05,p,0.000118943
s,5.48465E-05,p,0.00016454
s,4.39681E-05,p,0.000131904
s,4.52035E-05,p,0.000135611
s,4.94305E-05,p,0.000148291
s,4.85185E-05,p,0.000145555
s,4.66766E-05,p,0.00014003
s,4.61484E-05,p,0.000138445
s,5.34382E-05,p,0.000160315
s,5.96142E-05,p,0.000178843
s,4.47957E-05,p,0.000134387
s,5.08399E-05,p,0.00015252
s,4.71505E-05,p,0.000141451
s,4.50381E-05,p,0.000135114
s,6.59544E-05,p,0.000197863
s,4.86958E-05,p,0.000146087
s,5.74736E-05,p,0.000172421
s,4.26709E-05,p,0.000128013
s,4.74337E-05,p,0.000142301
s,4.22695E-05,p,0.000126808
s,4.41625E-05,p,0.000132488
s,4.77909E-05,p,0.000143373
s,5.28512E-05,p,0.000158554
s,4.93762E-05,p,0.000148128
s,4.25805E-05,p,0.000127742
s,4.32638E-05,p,0.000129791
s,5.18055E-05,p,0.000155417
s,4.56988E-05,p,0.000137096
s,5.17031E-05,p,0.000155109
s,4.94969E-05,p,0.000148491
s,4.86963E-05,p,0.000146089
s,4.44793E-05,p,0.000133438
s,5.09128E-05,p,0.000152738
s,6.26861E-05,p,0.000188058
s,5.13342E-05,p,0.000154003
s,4.75326E-05,p,0.000142598
s,4.41325E-05,p,0.000132398
s,4.92947E-05,p,0.000147884
s,4.55493E-05,p,0.000136648
s,4.68883E-05,p,0.000140665
s,4.27008E-05,p,0.000128102
s,4.93354E-05,p,0.000148006
s,3.71911E-05,p,0.000111573
s,5.1559E-05,p,0.000154677
s,5.02208E-05,p,0.000150662
s,4.45392E-05,p,0.000133617
s,4.52246E-05,p,0.000135674
s,5.58633E-05,p,0.00016759
s,5.34193E-05,p,0.000160258
s,4.47823E-05,p,0.000134347
s,5.02333E-05,p,0.0001507
s,4.58651E-05,p,0.000137595
s,4.66065E-05,p,0.00013982
s,5.64219E-05,p,0.000169266
s,4.99127E-05,p,0.000149738
s,4.68095E-05,p,0.000140429
s,5.31372E-05,p,0.000159412
s,5.02245E-05,p,0.000150674
s,4.83445E-05,p,0.000145033
s,6.09742E-05,p,0.000182923
s,6.06133E-05,p,0.00018184
s,5.30599E-05,p,0.00015918
s,3.48484E-05,p,0.000104545
s,6.00856E-05,p,0.000180257
s,3.89113E-05,p,0.000116734
s,5.4658E-05,p,0.000163974
s,5.09576E-05,p,0.000152873
s,4.30271E-05,p,0.000129081
s,5.61899E-05,p,0.00016857
s,4.45237E-05,p,0.000133571
s,3.71075E-05,p,0.000111323
s,4.62643E-05,p,0.000138793
s,5.59198E-05,p,0.000167759
s,4.36985E-05,p,0.000131095
s,4.23656E-05,p,0.000127097
s,4.8618E-05,p,0.000145854
s,5.2038E-05,p,0.000156114
s,3.9204E-05,p,0.000117612
s,5.43004E-05,p,0.000162901
s,4.24711E-05,p,0.000127413
s,4.78729E-05,p,0.000143619
