cond.r.t,echo.r.t,cond.r.b,echo.r.b,cond.t.b,echo.t.b,cond.p.b,echo.p.b
r,0.000277354,r,0.000277354,t,0.000290981,p,0.000568335
r,0.000311787,r,0.000311787,t,0.000314196,p,0.000625983
r,0.000300653,r,0.000300653,t,0.00024971,p,0.000550363
r,0.000311109,r,0.000311109,t,0.000317994,p,0.000629103
r,0.000319662,r,0.000319662,t,0.000276226,p,0.000595888
r,0.000264466,r,0.000264466,t,0.00026087,p,0.000525336
r,0.000315847,r,0.000315847,t,0.000345173,p,0.00066102
r,0.000284551,r,0.000284551,t,0.000234004,p,0.000518555
r,0.000313274,r,0.000313274,t,0.000305696,p,0.00061897
r,0.000328951,r,0.000328951,t,0.000319007,p,0.000647958
r,0.000318192,r,0.000318192,t,0.000316726,p,0.000634918
r,0.000333889,r,0.000333889,t,0.000283497,p,0.000617386
r,0.000272728,r,0.000272728,t,0.000302602,p,0.00057533
r,0.000291381,r,0.000291381,t,0.000298743,p,0.000590124
r,0.000281976,r,0.000281976,t,0.000283351,p,0.000565327
r,0.000253397,r,0.000253397,t,0.000277985,p,0.000531382
r,0.000295739,r,0.000295739,t,0.000274338,p,0.000570077
r,0.000294251,r,0.000294251,t,0.000290367,p,0.000584618
r,0.00028176,r,0.00028176,t,0.00029872,p,0.00058048
r,0.000303868,r,0.000303868,t,0.000262747,p,0.000566615
r,0.000274018,r,0.000274018,t,0.000322823,p,0.000596841
r,0.000309266,r,0.000309266,t,0.000269033,p,0.000578299
r,0.000325779,r,0.000325779,t,0.000318619,p,0.000644398
r,0.000299815,r,0.000299815,t,0.000277994,p,0.000577809
r,0.0003357,r,0.0003357,t,0.00022939,p,0.00056509
r,0.000311236,r,0.000311236,t,0.000286889,p,0.000598125
r,0.000279647,r,0.000279647,t,0.000338144,p,0.000617791
r,0.000293568,r,0.000293568,t,0.000311737,p,0.000605305
r,0.000315312,r,0.000315312,t,0.00030446,p,0.000619772
r,0.00029428,r,0.00029428,t,0.000336017,p,0.000630297
r,0.000338062,r,0.000338062,t,0.000275133,p,0.000613195
r,0.000313783,r,0.000313783,t,0.000303552,p,0.000617335
r,0.000344622,r,0.000344622,t,0.000283558,p,0.00062818
r,0.000284669,r,0.000284669,t,0.000341134,p,0.000625803
r,0.00030058,r,0.00030058,t,0.000264734,p,0.000565314
r,0.000301521,r,0.000301521,t,0.000273894,p,0.000575415
r,0.00032466,r,0.00032466,t,0.000306997,p,0.000631657
r,0.000291617,r,0.000291617,t,0.000289847,p,0.000581464
r,0.000261533,r,0.000261533,t,0.000244308,p,0.000505841
r,0.000318954,r,0.000318954,t,0.000340287,p,0.000659241
r,0.00029535,r,0.00029535,t,0.000282988,p,0.000578338
r,0.000304304,r,0.000304304,t,0.000305493,p,0.000609797
r,0.000344369,r,0.000344369,t,0.000273521,p,0.00061789
r,0.000320119,r,0.000320119,t,0.00028542,p,0.000605539
r,0.000281081,r,0.000281081,t,0.000309343,p,0.000590424
r,0.000331807,r,0.000331807,t,0.000279792,p,0.000611599
r,0.00029198,r,0.00029198,t,0.000264058,p,0.000556038
r,0.000281041,r,0.000281041,t,0.000275138,p,0.000556179
r,0.000345226,r,0.000345226,t,0.000299807,p,0.000645033
r,0.000291781,r,0.000291781,t,0.000325462,p,0.000617243
r,0.000278117,r,0.000278117,t,0.000259127,p,0.000537244
r,0.000284551,r,0.000284551,t,0.000276368,p,0.000560919
r,0.000315159,r,0.000315159,t,0.000263083,p,0.000578242
r,0.000268218,r,0.000268218,t,0.000288601,p,0.000556819
r,0.000297349,r,0.000297349,t,0.00030683,p,0.000604179
r,0.0002739,r,0.0002739,t,0.000325472,p,0.000599372
r,0.000301935,r,0.000301935,t,0.000294108,p,0.000596043
