unstudied,tone,rhythm,both
-1.85E-06,0.000767084,5.37E-05,0.000855927
1.26E-06,0.000821719,6.59E-05,0.000980484
-1.23E-06,0.000685669,7.78E-05,0.000914796
1.78E-07,0.000703237,6.72E-05,0.000879614
-8.02E-07,0.000805966,5.76E-05,0.000871798
-8.18E-07,0.000855141,6.24E-05,0.000923032
2.16E-06,0.000758327,6.08E-05,0.000793024
-2.52E-06,0.00066381,6.18E-05,0.000793119
1.77E-06,0.000865978,5.72E-05,0.00084726
1.66E-07,0.000774959,6.19E-05,0.000978701
-1.12E-06,0.000784654,5.91E-05,0.00077129
-4.74E-07,0.000767269,5.70E-05,0.000890616
-7.40E-07,0.0008489,5.73E-05,0.000864794
-1.66E-06,0.000790668,5.30E-05,0.000795904
4.88E-07,0.000893255,6.62E-05,0.000959555
-2.80E-06,0.000794123,7.08E-05,0.000793486
1.78E-06,0.000769731,6.78E-05,0.000963094
-3.25E-07,0.000757917,6.43E-05,0.000850245
-6.66E-07,0.000849178,7.54E-05,0.000874177
1.47E-06,0.000732473,6.70E-05,0.000914832
8.68E-08,0.000882921,7.17E-05,0.000931974
-3.51E-06,0.00076736,5.63E-05,0.00097552
-2.65E-06,0.000897658,6.40E-05,0.000772132
-1.16E-06,0.000760984,7.52E-05,0.000791017
2.13E-06,0.000820393,6.87E-05,0.000854684
7.29E-07,0.000899131,4.55E-05,0.000762193
-7.63E-07,0.000783425,6.31E-05,0.000884334
4.01E-07,0.000847922,6.28E-05,0.000916143
1.12E-06,0.00090495,6.92E-05,0.000899308
-8.10E-08,0.000759699,5.94E-05,0.00091974
1.68E-06,0.000806322,6.21E-05,0.000747166
1.10E-06,0.000810804,7.26E-05,0.000854509
2.79E-07,0.000794844,6.37E-05,0.000954321
6.53E-07,0.000773727,5.71E-05,0.000987249
8.97E-07,0.000734179,7.20E-05,0.000868838
3.08E-06,0.000748743,7.92E-05,0.00086926
1.30E-06,0.000844503,4.50E-05,0.000862851
-1.05E-07,0.000841132,5.50E-05,0.000872745
1.53E-06,0.000706174,5.93E-05,0.000939964
3.95E-07,0.000827635,7.17E-05,0.000700548
1.76E-06,0.000910907,6.86E-05,0.000809194
-1.74E-06,0.000784225,7.59E-05,0.000775489
1.54E-06,0.000778679,5.13E-05,0.000824781
1.41E-06,0.000907901,5.79E-05,0.000865391
-1.35E-06,0.000839556,8.41E-05,0.000909707
7.35E-07,0.000732365,7.74E-05,0.000866911
3.69E-07,0.000713826,6.99E-05,0.000857127
7.75E-07,0.00079653,5.94E-05,0.000831285
3.63E-07,0.000871298,6.12E-05,0.000930707
-1.69E-06,0.00086362,6.34E-05,0.000891449
-3.34E-07,0.000929828,5.50E-05,0.000895117
1.40E-06,0.000821197,6.05E-05,0.00087652
-9.46E-07,0.000778834,6.27E-05,0.000917742
-8.58E-07,0.000727372,7.06E-05,0.000929648
5.62E-07,0.000724998,5.89E-05,0.000858263
2.95E-06,0.000798151,6.11E-05,0.000808656
1.93E-06,0.000826302,7.37E-05,0.000948415
2.13E-07,0.000677029,6.96E-05,0.00089804
7.13E-07,0.000735098,6.56E-05,0.00083364
3.14E-06,0.000836733,7.20E-05,0.000775751
-1.27E-06,0.00064398,5.92E-05,0.000780703
-2.08E-08,0.000783138,6.52E-05,0.000810791
-1.05E-06,0.000710144,7.34E-05,0.000852951
-9.88E-07,0.000833291,6.17E-05,0.000908616
3.19E-06,0.000864534,6.38E-05,0.00091776
-1.78E-06,0.000721261,6.40E-05,0.000919805
-1.23E-06,0.000757773,5.51E-05,0.000876651
-2.96E-07,0.000853569,6.44E-05,0.000870374
6.55E-07,0.000670682,7.87E-05,0.000876418
-3.64E-07,0.000836981,5.93E-05,0.000950741
3.01E-07,0.000858717,5.80E-05,0.000807872
-4.99E-07,0.000796105,5.98E-05,0.00078894
7.32E-08,0.000748166,6.70E-05,0.000881095
-3.47E-07,0.000796252,6.43E-05,0.000821269
5.05E-07,0.000738492,6.30E-05,0.000821981
5.43E-08,0.000834476,6.17E-05,0.00093159
-9.83E-07,0.000652386,6.33E-05,0.000804108
9.90E-08,0.000865435,6.39E-05,0.000879099
1.61E-06,0.000738903,5.49E-05,0.000903429
2.76E-06,0.00094994,5.46E-05,0.000858933
