unstudied,tone,rhythm,both,,,cond.r.t,echo.r.t,condr.b,echo.r.b,cond.t.b,echo.t.b,,r,t,predicted,both,,cond.p.b,echo.p.b,cond.r.t,echo.r.t,condr.b,echo.r.b,cond.t.b,echo.t.b
1.20E-06,0.000486303,0.000163177,0.000589037,,,r,0.000163177,r,0.000163177,t,0.000486303,,1.62E-04,4.85E-04,6.47E-04,5.88E-04,,p,6.47E-04,r,0.000163177,r,0.000163177,t,0.000486303
-1.50E-06,0.00053961,0.000139772,0.000631399,,,r,0.000139772,r,0.000139772,t,0.00053961,,1.41E-04,5.41E-04,6.82E-04,6.33E-04,,p,6.82E-04,r,0.000139772,r,0.000139772,t,0.00053961
-4.98E-07,0.000606328,0.00017227,0.000710305,,,r,0.00017227,r,0.00017227,t,0.000606328,,1.73E-04,6.07E-04,7.80E-04,7.11E-04,,p,7.80E-04,r,0.00017227,r,0.00017227,t,0.000606328
-1.87E-06,0.000493947,0.000131841,0.000638646,,,r,0.000131841,r,0.000131841,t,0.000493947,,1.34E-04,4.96E-04,6.30E-04,6.41E-04,,p,6.30E-04,r,0.000131841,r,0.000131841,t,0.000493947
1.92E-06,0.000497023,0.00014525,0.000718522,,,r,0.00014525,r,0.00014525,t,0.000497023,,1.43E-04,4.95E-04,6.38E-04,7.17E-04,,p,6.38E-04,r,0.00014525,r,0.00014525,t,0.000497023
4.39E-08,0.000585259,0.000128676,0.000692904,,,r,0.000128676,r,0.000128676,t,0.000585259,,1.29E-04,5.85E-04,7.14E-04,6.93E-04,,p,7.14E-04,r,0.000128676,r,0.000128676,t,0.000585259
2.26E-06,0.000447663,0.000169928,0.000714664,,,r,0.000169928,r,0.000169928,t,0.000447663,,1.68E-04,4.45E-04,6.13E-04,7.12E-04,,p,6.13E-04,r,0.000169928,r,0.000169928,t,0.000447663
9.55E-07,0.000490598,0.000173622,0.000712893,,,r,0.000173622,r,0.000173622,t,0.000490598,,1.73E-04,4.90E-04,6.62E-04,7.12E-04,,p,6.62E-04,r,0.000173622,r,0.000173622,t,0.000490598
-1.36E-06,0.000514986,0.000146735,0.000585979,,,r,0.000146735,r,0.000146735,t,0.000514986,,1.48E-04,5.16E-04,6.64E-04,5.87E-04,,p,6.64E-04,r,0.000146735,r,0.000146735,t,0.000514986
2.09E-06,0.00046497,0.000146262,0.000657707,,,r,0.000146262,r,0.000146262,t,0.00046497,,1.44E-04,4.63E-04,6.07E-04,6.56E-04,,p,6.07E-04,r,0.000146262,r,0.000146262,t,0.00046497
1.20E-07,0.000498472,0.000116223,0.000662762,,,r,0.000116223,r,0.000116223,t,0.000498472,,1.16E-04,4.98E-04,6.14E-04,6.63E-04,,p,6.14E-04,r,0.000116223,r,0.000116223,t,0.000498472
-1.73E-06,0.000559178,0.000137505,0.00066073,,,r,0.000137505,r,0.000137505,t,0.000559178,,1.39E-04,5.61E-04,7.00E-04,6.62E-04,,p,7.00E-04,r,0.000137505,r,0.000137505,t,0.000559178
1.03E-06,0.0004683,0.000134998,0.000671698,,,r,0.000134998,r,0.000134998,t,0.0004683,,1.34E-04,4.67E-04,6.01E-04,6.71E-04,,p,6.01E-04,r,0.000134998,r,0.000134998,t,0.0004683
-4.30E-07,0.00055751,0.000142973,0.000635916,,,r,0.000142973,r,0.000142973,t,0.00055751,,1.43E-04,5.58E-04,7.01E-04,6.36E-04,,p,7.01E-04,r,0.000142973,r,0.000142973,t,0.00055751
8.23E-07,0.000434197,0.000165469,0.000617261,,,r,0.000165469,r,0.000165469,t,0.000434197,,1.65E-04,4.33E-04,5.98E-04,6.16E-04,,p,5.98E-04,r,0.000165469,r,0.000165469,t,0.000434197
-1.39E-06,0.000461596,0.000160335,0.000554821,,,r,0.000160335,r,0.000160335,t,0.000461596,,1.62E-04,4.63E-04,6.25E-04,5.56E-04,,p,6.25E-04,r,0.000160335,r,0.000160335,t,0.000461596
-3.52E-07,0.000452298,0.000137697,0.000617815,,,r,0.000137697,r,0.000137697,t,0.000452298,,1.38E-04,4.53E-04,5.91E-04,6.18E-04,,p,5.91E-04,r,0.000137697,r,0.000137697,t,0.000452298
-9.53E-07,0.000527455,0.000155375,0.000563376,,,r,0.000155375,r,0.000155375,t,0.000527455,,1.56E-04,5.28E-04,6.85E-04,5.64E-04,,p,6.85E-04,r,0.000155375,r,0.000155375,t,0.000527455
-4.20E-07,0.000464115,0.000172113,0.000619505,,,r,0.000172113,r,0.000172113,t,0.000464115,,1.73E-04,4.65E-04,6.37E-04,6.20E-04,,p,6.37E-04,r,0.000172113,r,0.000172113,t,0.000464115
-1.93E-06,0.000534292,0.00014663,0.000678417,,,r,0.00014663,r,0.00014663,t,0.000534292,,1.49E-04,5.36E-04,6.85E-04,6.80E-04,,p,6.85E-04,r,0.00014663,r,0.00014663,t,0.000534292
-1.93E-08,0.000490699,0.000166052,0.000707137,,,r,0.000166052,r,0.000166052,t,0.000490699,,1.66E-04,4.91E-04,6.57E-04,7.07E-04,,p,6.57E-04,r,0.000166052,r,0.000166052,t,0.000490699
-2.51E-06,0.000457484,0.000146186,0.000612143,,,r,0.000146186,r,0.000146186,t,0.000457484,,1.49E-04,4.60E-04,6.09E-04,6.15E-04,,p,6.09E-04,r,0.000146186,r,0.000146186,t,0.000457484
-4.70E-07,0.000474112,0.000155643,0.000701013,,,r,0.000155643,r,0.000155643,t,0.000474112,,1.56E-04,4.75E-04,6.31E-04,7.01E-04,,p,6.31E-04,r,0.000155643,r,0.000155643,t,0.000474112
1.49E-07,0.000468179,0.000142695,0.000561959,,,r,0.000142695,r,0.000142695,t,0.000468179,,1.43E-04,4.68E-04,6.11E-04,5.62E-04,,p,6.11E-04,r,0.000142695,r,0.000142695,t,0.000468179
-9.87E-07,0.000414978,0.00016447,0.000652715,,,r,0.00016447,r,0.00016447,t,0.000414978,,1.65E-04,4.16E-04,5.81E-04,6.54E-04,,p,5.81E-04,r,0.00016447,r,0.00016447,t,0.000414978
2.90E-06,0.000418615,0.000152897,0.000700828,,,r,0.000152897,r,0.000152897,t,0.000418615,,1.50E-04,4.16E-04,5.66E-04,6.98E-04,,p,5.66E-04,r,0.000152897,r,0.000152897,t,0.000418615
-7.57E-07,0.000459116,0.000151221,0.000681381,,,r,0.000151221,r,0.000151221,t,0.000459116,,1.52E-04,4.60E-04,6.12E-04,6.82E-04,,p,6.12E-04,r,0.000151221,r,0.000151221,t,0.000459116
-7.80E-07,0.000484186,0.000146752,0.000610759,,,r,0.000146752,r,0.000146752,t,0.000484186,,1.48E-04,4.85E-04,6.32E-04,6.12E-04,,p,6.32E-04,r,0.000146752,r,0.000146752,t,0.000484186
1.78E-07,0.000479636,0.000193784,0.000582472,,,r,0.000193784,r,0.000193784,t,0.000479636,,1.94E-04,4.79E-04,6.73E-04,5.82E-04,,p,6.73E-04,r,0.000193784,r,0.000193784,t,0.000479636
7.78E-07,0.000520046,0.000180523,0.00067064,,,r,0.000180523,r,0.000180523,t,0.000520046,,1.80E-04,5.19E-04,6.99E-04,6.70E-04,,p,6.99E-04,r,0.000180523,r,0.000180523,t,0.000520046
