echo,condition
0.000145429,N=1
0.000148768,N=1
0.000111774,N=1
0.000112921,N=1
7.62E-05,N=1
9.29E-05,N=1
0.000115113,N=1
9.25E-05,N=1
0.000107283,N=1
0.000103357,N=1
0.00010849,N=1
0.000109527,N=1
8.27E-05,N=1
0.000114732,N=1
0.00010456,N=1
9.58E-05,N=1
0.000160991,N=1
0.000125792,N=1
0.000132996,N=1
0.000110587,N=1
0.000133441,N=1
0.000109061,N=1
0.000135959,N=1
0.00010601,N=1
0.000120023,N=1
0.000139365,N=1
0.000135934,N=1
9.46E-05,N=1
9.87E-05,N=1
0.000118415,N=1
0.000129655,N=1
0.000111142,N=1
0.000110046,N=1
0.000133273,N=1
9.97E-05,N=1
0.000104707,N=1
0.000100262,N=1
0.000113854,N=1
8.51E-05,N=1
0.000122924,N=1
0.000110401,N=1
0.000120123,N=1
0.00011195,N=1
0.000155314,N=1
0.00011481,N=1
9.36E-05,N=1
0.000148037,N=1
0.000128124,N=1
9.94E-05,N=1
0.000129003,N=1
9.99E-05,N=1
9.98E-05,N=1
0.000120146,N=1
0.000106661,N=1
0.000127478,N=1
0.000131321,N=1
0.000116353,N=1
9.51E-05,N=1
0.000129342,N=1
9.83E-05,N=1
0.000112256,N=1
0.000124387,N=1
0.000104653,N=1
0.000106519,N=1
0.000117957,N=1
0.000128402,N=1
9.80E-05,N=1
0.00012012,N=1
0.000101536,N=1
0.000100494,N=1
0.000143153,N=1
0.00010023,N=1
0.000129914,N=1
0.000123234,N=1
0.000105202,N=1
0.000130732,N=1
0.000109093,N=1
0.000116548,N=1
0.000107068,N=1
9.84E-05,N=1
0.000161104,N=1
0.000125815,N=1
0.000153517,N=1
0.000114271,N=1
0.000102505,N=1
0.000110262,N=1
0.000120427,N=1
0.000142241,N=1
9.61E-05,N=1
9.51E-05,N=1
0.000138329,N=1
0.000139272,N=1
0.000111441,N=1
8.81E-05,N=1
0.000122964,N=1
0.000114807,N=1
0.000130799,N=1
0.00011469,N=1
0.000130196,N=1
0.000121951,N=1
0.000102685,N=1
0.000121512,N=1
0.000128658,N=1
0.000155005,N=1
0.000136868,N=1
0.000111316,N=1
0.000109234,N=1
0.000130105,N=1
0.000117666,N=1
0.000104932,N=1
0.000133485,N=1
0.000166056,N=1
0.000123026,N=1
0.000121306,N=1
0.000123956,N=1
9.93E-05,N=1
0.000105734,N=1
0.000111412,N=1
0.000129586,N=1
0.00013365,N=1
0.000103949,N=1
0.000107341,N=1
0.00014107,N=1
0.000127724,N=1
0.00010487,N=1
